Decade,Year,Name,Image,ImageDescription,Image2,Image3,ImageDescription2,ImageDescription3,Country1,Country2,Country3,Country4,Flag1,Flag2,Flag3,Flag4,NameOther,Tons burthen,Complement,Armament,Builder,Launched,Length,Propulsion,Laid down,Fate,Class,Sail plan,Port of registry,Namesake,Owner,In service,Out of service,Completed,Captured,Acquired,Commissioned,Honours andawards,Beam,Draught,Depth of hold,Ordered,Renamed,Decommissioned,Homeport,Type,Displacement,Draft,Range,Masts:,Foremast:,Mainmast:,Mizzenmast:,Other masts:,ClassRate
1790,1797,HMS Growler (1797),,,,,,,Great Britain,France,,,//upload.wikimedia.org/wikipedia/commons/thumb/f/fa/White_Ensign_of_Great_Britain_%281707%E2%80%931800%29.svg/51px-White_Ensign_of_Great_Britain_%281707%E2%80%931800%29.svg.png,//upload.wikimedia.org/wikipedia/commons/thumb/3/3f/Ensign_of_France.svg/42px-Ensign_of_France.svg.png,,, GB No. 26, 16852⁄94(bm), Royal Navy:50French Navy:37-–47 men, Royal Navy:10 × 18-poundercarronades+ 2 × 24-pounderchase gunsFrench Navy:2 × 32-pounder carronades forward + 10 × 16-pounder carronades + 2 × 8-pounder guns," Thomas Pitcher, Northfleet", 10 April 1797, Overall: 76\xa0ft 2\xa0in (23.22\xa0m)Keel:62\xa0ft4+3⁄8in (19.009\xa0m),, February 1797, Seized 1 August 1809, Courser-classgun-brig, Brig,,,,,,, 21 December 1797, November 1798 by purchase of a prize,,, 22\xa0ft6+1⁄2in (6.871\xa0m),, 8\xa0ft 3\xa0in (2.51\xa0m), 7 February 1797, HMSGrowler,,,,,,,,,,,, Courser-classgun-brig
1790,1797,HMS Sparkler (1797),,,,,,,Great Britain,United Kingdom,,,//upload.wikimedia.org/wikipedia/commons/thumb/f/fa/White_Ensign_of_Great_Britain_%281707%E2%80%931800%29.svg/51px-White_Ensign_of_Great_Britain_%281707%E2%80%931800%29.svg.png,//upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Civil_Ensign_of_the_United_Kingdom.svg/56px-Civil_Ensign_of_the_United_Kingdom.svg.png,,, GB No.7," 16121⁄94, or 167,2or 1793(bm)",, Royal Navy: 2 × 24-pounder bowchase guns+ 10 × 18-poundercarronades1813: 4 × 4-pounder + 6 × 6-pounder guns," John Randall, Deptford", April 1797, Overall:75\xa0ft 2\xa0in (22.9\xa0m)Keel:61\xa0ft8+1⁄4in (18.8\xa0m),, February 1797, Sold September 1802, Acute-classgunbrig,,,,,,,,, 1803 by purchase,,, 22\xa0ft 2\xa0in (6.8\xa0m),, 8\xa0ft 0\xa0in (2.4\xa0m), 7 February 1797, HMSSparkler(August 1797),,,,,,,,,,,, Acute-classgunbrig
1790,1797,HMS Steady (1797),,,,,,,Great Britain,,,,//upload.wikimedia.org/wikipedia/commons/thumb/f/fa/White_Ensign_of_Great_Britain_%281707%E2%80%931800%29.svg/51px-White_Ensign_of_Great_Britain_%281707%E2%80%931800%29.svg.png,,,, HMSSteady(ex-GB No. 19), 16829⁄94(bm),50, 10 × 18-poundercarronades2 × 24-poundergunsaschasers," Hill & Mellish,Limehouse", 24 April 1797, 76\xa0ft 1\xa0in (23.19\xa0m) (gundeck)62\xa0ft3+1⁄4in (18.980\xa0m) (keel),, February 1797, Sold in September 1802, Courser-classgun-brig, Brig,,,,,,,,, May 1797,, 22\xa0ft6+1⁄2in (6.871\xa0m),, 8\xa0ft 3\xa0in (2.51\xa0m), 7 February 1797, HMSOroonoko(7 February 1805),,,,,,,,,,,, Courser-classgun-brig
1790,1797,HMS Tigress (1797),,,,,,,Great Britain,,,,//upload.wikimedia.org/wikipedia/commons/thumb/f/fa/White_Ensign_of_Great_Britain_%281707%E2%80%931800%29.svg/51px-White_Ensign_of_Great_Britain_%281707%E2%80%931800%29.svg.png,,,, GB No. 45, 16852⁄94(bm),50, 10 × 18-poundercarronades+ 2chase guns," Thomas Pitcher, Northfleet", 11 September 1797, Overall: 76\xa0ft 0\xa0in (23.16\xa0m)Keel:62\xa0ft2+5⁄8in (18.964\xa0m),, March 1797, Sold January 1802, Courser-classgun-brig, Brig,,,,,,,,,,, 22\xa0ft 6\xa0in (6.86\xa0m),, 8\xa0ft 3\xa0in (2.51\xa0m), March 1797, HMSTigress,,,,,,,,,,,, Courser-classgun-brig
1790,1798,HMS Diomede (1798),,,,,,,Great Britain,,,,//upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Naval_Ensign_of_the_United_Kingdom.svg/56px-Naval_Ensign_of_the_United_Kingdom.svg.png,,,, HMSDiomede," 1,12253⁄94(bm)",343, Lower Gundeck: 22 × 24-pounder gunsUpper Gundeck: 22 × 12-pounder gunsQD: 4 × 6-pounder gunsFc: 2 × 6-pounder guns, Deptford Dockyard, 17 January 1798, 151\xa0ft 1.5\xa0in (46.1\xa0m) (gundeck)124\xa0ft7+7⁄8in (38.0\xa0m) (keel),, October 1792, Broken Up August 1815, Diomede-classship of the line, Full-rigged ship,,,,,,,,, March 1798,, 41\xa0ft1+3⁄4in (12.5\xa0m),, 17\xa0ft 7\xa0in (5.4\xa0m), 9 December 1790, Built asFirmRenamedDiomedeon 29 December 1797,,,,,,,,,,,,Ship of the line
1790,1798,HMS Porpoise (1798),,,,,,,Great Britain,,,,//upload.wikimedia.org/wikipedia/commons/thumb/f/fa/White_Ensign_of_Great_Britain_%281707%E2%80%931800%29.svg/51px-White_Ensign_of_Great_Britain_%281707%E2%80%931800%29.svg.png,,,, HMSPorpoise, 324 (bm),33, 10 × 6-pounder guns12-poundercarronadeslater replaced some or all of the guns," Hill & Mellish, Limehouse", 16 May 1798, 96\xa0ft 2\xa0in (29.3\xa0m) (overall)76\xa0ft 10\xa0in (23.4\xa0m) (keel),,, Sold 1802,,,,,,,,,,,,, 28\xa0ft 2\xa0in (8.6\xa0m),, 12\xa0ft 0\xa0in (3.7\xa0m), 24 November 1797 (established), HMSDiligent(5 January 1799),,,,,,,,,,,,
1760,1763,French ship Zélé (1763),,,,,,,France,,,,//upload.wikimedia.org/wikipedia/commons/thumb/0/01/Flag_of_France_%281814%E2%80%931830%29.svg/42px-Flag_of_France_%281814%E2%80%931830%29.svg.png,,,, Zélé," 1,500 tons",, 74 guns:Lower gundeck: 28 × 36-pounderlong gunsUpper gundeck: 30 × 24-pounderlong gunsForecastle and Quarter deck:16 × 8-pounderlong guns, Toulon (plans by Coulomb), 1 July 1763, 55.39\xa0m (181.7\xa0ft),, February 1762, Broken up 1806,,,, Zealous,,1764,1806,,,,,, 14.13\xa0m (46.4\xa0ft), 6.71\xa0m (22.0\xa0ft), 6.98\xa0m (22.9\xa0ft), 9 December 1761,,,,," 2,900 tonnes",,,,,,,,
1760,1764,French ship Citoyen (1764),,,,,,,France,,,,//upload.wikimedia.org/wikipedia/commons/thumb/0/01/Flag_of_France_%281814%E2%80%931830%29.svg/42px-Flag_of_France_%281814%E2%80%931830%29.svg.png,,,, Citoyen,," 715 men in wartime, 650 in  peacetime, + 6/12 officers", 74 guns:Lower battery: 28 ×36-poundersUpper battery: 30 ×18-poundersForecastle and quarterdeck: 16 ×8-pounders, Brest, 27 August 1764, 169½ French feetNote (55.06 metres), Sail, July 1761, Broken up 1791, Citoyenclass ship of the line,,, Citizen,, December 1764,,,,,,, 43 French feet (13.97 metres), 21 French feet (6.82 metres),, May 1757,,,,," 3,000 tons",,,,,,,,Ship of the line
1760,1766,French frigate Enjouée (1766),,,,,,,France,,,,//upload.wikimedia.org/wikipedia/commons/thumb/0/01/Flag_of_France_%281814%E2%80%931830%29.svg/42px-Flag_of_France_%281814%E2%80%931830%29.svg.png,,,, Enjouée,,, 26 ×12-pounder long guns6 ×6-pounder long guns, Le Havre, 4 November 1766, 42.2\xa0m (138\xa0ft) (overall), Sails, May 1766,,,,, Joyful,, January 1768,,,,,,, 11\xa0m (36\xa0ft), 5.1\xa0m (17\xa0ft),, 28 May 1766,,,, Frigate, 600 tons (French),,,,,,,,
1760,1766,French ship Bourgogne (1766),,,,,,,France,,,,//upload.wikimedia.org/wikipedia/commons/thumb/0/01/Flag_of_France_%281814%E2%80%931830%29.svg/42px-Flag_of_France_%281814%E2%80%931830%29.svg.png,,,, Bourgogne,,840, Lower deck: 28 × 36-pounder gunsUpper deck: 30 × 18-pounder gunsGalliards: 16 × 8-pounder guns, Toulon Dyd, 26 June 1766, 54.57\xa0m (179.0\xa0ft) (gundeck)47.43\xa0m (155.6\xa0ft) (keel), Sail, 31 January 1762, Wrecked 4 February 1783.,, full rigged,, Bourgogne,,,,,,, November 1767,, 14.13\xa0m (46.4\xa0ft), 6.66\xa0m (21.9\xa0ft) (fore)7.47\xa0m (24.5\xa0ft) (aft), 6.98\xa0m (22.9\xa0ft), 16 January 1762,,,,," 1,550 tons (French)",,,,,,,,
1760,1767,French frigate Mignonne (1767),,,,,,,France,Great Britain,,,//upload.wikimedia.org/wikipedia/commons/thumb/0/01/Flag_of_France_%281814%E2%80%931830%29.svg/42px-Flag_of_France_%281814%E2%80%931830%29.svg.png,//upload.wikimedia.org/wikipedia/commons/thumb/f/fa/White_Ensign_of_Great_Britain_%281707%E2%80%931800%29.svg/51px-White_Ensign_of_Great_Britain_%281707%E2%80%931800%29.svg.png,,, Mignonne, 684 (bm), French service: 157–200British service: 220, French service: 26 × 8-pounder long guns + 4 × 4-pounder guns on theSpar Deck; 6 × 4-pounders from 1787British service: 26 × 9-pounder guns + 6 smaller guns on theQDandFc, Toulon Dockyard;constructeur: Claude Saussillon, 26 April 1767, 38.98\xa0m (127.9\xa0ft) (overall)35.08\xa0m (115.1\xa0ft) (keel), Sails, October 1765, Burnt July 1797,,,, Pretty,,,,, 10 August 1794, 10 August 1794 by capture,,, 10.39\xa0m (34.1\xa0ft), 4.22\xa0m (13.8\xa0ft) (unladen), 5.12\xa0m (16.8\xa0ft), 5 August 1765,,,, Frigate, 880 tons (French),,,,,,,,
1770,1771,French corvette Sardine (1771),,,,,,,France,Great Britain,,,//upload.wikimedia.org/wikipedia/commons/thumb/0/01/Flag_of_France_%281814%E2%80%931830%29.svg/42px-Flag_of_France_%281814%E2%80%931830%29.svg.png,//upload.wikimedia.org/wikipedia/commons/thumb/f/fa/White_Ensign_of_Great_Britain_%281707%E2%80%931800%29.svg/51px-White_Ensign_of_Great_Britain_%281707%E2%80%931800%29.svg.png,,, Sardine, 300 (bm), 86–100, 16 × 6-pounder guns, Toulon Dockyard (Constructeur:Broquier), 14 July 1771, 34.43\xa0m (113.0\xa0ft),, June 1770, Sold in 1806,, Full-rigged ship,, Sardine,,1772,,, 9 March 1796, 1796 by capture,,, 8.77\xa0m (28.8\xa0ft), 3.68\xa0m (12.1\xa0ft) (unloaded), 4.30\xa0m (14.1\xa0ft), 7 February 1770,,,,, 280 tons (French),,,,,,,,
1770,1772,French frigate Pourvoyeuse (1772),,,,,,,France,,,,//upload.wikimedia.org/wikipedia/commons/thumb/0/01/Flag_of_France_%281814%E2%80%931830%29.svg/42px-Flag_of_France_%281814%E2%80%931830%29.svg.png,,,, Pourvoyuese,,, Main deck: 26 ×18-pounder gunsForecastle: 12 ×8-pounder guns, Lorient, 10 November 1772, 50\xa0m (164\xa0ft 1\xa0in),, March 1772, Deleted 1794, Pourvoyeuse-classfrigate,,, Purveyor,,1773,,,,,,, 12.3\xa0m (40\xa0ft 4\xa0in), 6.3\xa0m (20\xa0ft 8\xa0in),, 6 February 1772,,,,, 840tonnes,,,,,,,,Frigate
1770,1775,French frigate Consolante (1775),,,,,,,France,,,,//upload.wikimedia.org/wikipedia/commons/thumb/0/01/Flag_of_France_%281814%E2%80%931830%29.svg/42px-Flag_of_France_%281814%E2%80%931830%29.svg.png,,,, Consolante,,, Main deck: 26 ×18-pounder gunsForecastle: 12 ×8-pounder guns, Lorient, 1 December 1774, 50\xa0m (164\xa0ft 1\xa0in),, April 1772, Broken up 1804, Pourvoyeuse-classfrigate,,, Consoling,,1776,1784,,,,,, 12.3\xa0m (40\xa0ft 4\xa0in), 6.3\xa0m (20\xa0ft 8\xa0in),, 6 February 1772,,,,, 840tonnes,,,,,,,,Frigate
1770,1777,French frigate Andromaque (1777),,,,,,,France,,,,//upload.wikimedia.org/wikipedia/commons/thumb/0/01/Flag_of_France_%281814%E2%80%931830%29.svg/42px-Flag_of_France_%281814%E2%80%931830%29.svg.png,,,, Andromaque,,, Gun deck: 26 ×12-pounderlong gunsCastles: 6 ×6-pounderlong guns, Brest, 24 December 1777, 46.9\xa0m (153\xa0ft 10\xa0in),, August 1777, Scuttled by fire, Nymphe-classfrigate, Full-rigged ship,, Andromache,, April 1778,,,,,,, 11.9\xa0m (39\xa0ft 1\xa0in),,, 29 September 1777,,,,, 750tonnes,,,,,,,,Frigate
1770,1777,French ship Destin (1778),,,,,,,France,,,,//upload.wikimedia.org/wikipedia/commons/thumb/0/01/Flag_of_France_%281814%E2%80%931830%29.svg/42px-Flag_of_France_%281814%E2%80%931830%29.svg.png,,,, Destin,,, 74 guns:28 ×36-pounder long guns30 ×18-pounder long guns16 ×8-pounder long guns6 ×obusiers de vaisseau, Toulon, 21 October 1777, 54.6 metres,, April 1770," Scuttled at the end of theSiege of Toulon, wreck raised and broken up in 1807", Césarclass ship of the line, Full-rigged ship,, Destiny,, 28 May 1778,,,,,,, 14.1 metres, 6.7 metres,, 7 February 1770,,,,, 1500 tonnes,,,,,,,,Ship of the line
1780,1780,French ship Majestueux (1781),,,,,,,France,,,,//upload.wikimedia.org/wikipedia/commons/thumb/0/01/Flag_of_France_%281814%E2%80%931830%29.svg/42px-Flag_of_France_%281814%E2%80%931830%29.svg.png,,,, Majestueux,,, 110 guns, Toulon, 17 November 1780, 60.6\xa0m (199\xa0ft), Sail, 5 July 1780, Broken up 1808, Terribleclass ship of the line,,, Majestuous,,,,,,, 4 February 1781,, 16.2\xa0m (53\xa0ft), 8.6\xa0m (28\xa0ft),, 20 April 1780,,,,, 2500 tonnes,,,,,,,,Ship of the line
1780,1782,French ship Centaure (1782),,,,,,,France,,,,//upload.wikimedia.org/wikipedia/commons/thumb/0/01/Flag_of_France_%281814%E2%80%931830%29.svg/42px-Flag_of_France_%281814%E2%80%931830%29.svg.png,,,, Centaure,,, 74 guns, Toulon, 7 November 1782, 54.6\xa0m (179\xa0ft), Sail, 12 May 1782," Burnt by the British at the evacuation of Toulon, 18 December 1793", Centaureclass ship of the line,,, Centaur,, December 1782,,,,,,, 14.3\xa0m (47\xa0ft), 7\xa0m (23\xa0ft),, 15 February 1782,,,,, 1530 tonnes,,,,,,,,Ship of the line
1780,1783,French ship Mercure (1783),,,,,,,France,,,,//upload.wikimedia.org/wikipedia/commons/thumb/0/01/Flag_of_France_%281814%E2%80%931830%29.svg/42px-Flag_of_France_%281814%E2%80%931830%29.svg.png,,,, Mercure,,600, 74 guns, Toulon, 4 August 1783, 56.3\xa0m (184\xa0ft 9\xa0in),, August 1782, Captured and burnt 2 August 1798, Séduisant-classship of the line,,, Mercury,,,,,,,1783,, 14.2\xa0m (46\xa0ft 7\xa0in), 7.4\xa0m (24\xa0ft 3\xa0in),, 1 June 1782,,,,," 1,550 tonnes",,,,,,,,Ship of the line
1780,1787,French brig Alerte (1787),,,,,,,France,Great Britain,France,Great Britain,//upload.wikimedia.org/wikipedia/commons/thumb/0/01/Flag_of_France_%281814%E2%80%931830%29.svg/42px-Flag_of_France_%281814%E2%80%931830%29.svg.png,//upload.wikimedia.org/wikipedia/commons/thumb/f/fa/White_Ensign_of_Great_Britain_%281707%E2%80%931800%29.svg/51px-White_Ensign_of_Great_Britain_%281707%E2%80%931800%29.svg.png,//upload.wikimedia.org/wikipedia/commons/thumb/3/3f/Ensign_of_France.svg/42px-Ensign_of_France.svg.png,//upload.wikimedia.org/wikipedia/commons/thumb/f/fa/White_Ensign_of_Great_Britain_%281707%E2%80%931800%29.svg/51px-White_Ensign_of_Great_Britain_%281707%E2%80%931800%29.svg.png, Alerte, 248 (bm),,," Hubert Pennevert,Rochefortdockyard", 20 April 1787,,,1786," Sold, 1802",,,, Minorca,,, April 1802,, 17 June 1799, 28 August 1793, August 1800, Naval General Service Medalwith clasp Egypt2,,,,1786,,,, Brig, 330 tons (French),,,,,,,,
1790,1790,HMS Amethyst (1793),,,,,,,France,Great Britain,,,//upload.wikimedia.org/wikipedia/commons/thumb/7/71/Flag_of_French-Navy-Revolution.svg/42px-Flag_of_French-Navy-Revolution.svg.png,//upload.wikimedia.org/wikipedia/commons/thumb/f/fa/White_Ensign_of_Great_Britain_%281707%E2%80%931800%29.svg/51px-White_Ensign_of_Great_Britain_%281707%E2%80%931800%29.svg.png,,, Perle, 102880⁄94(bm), French Navy:324Royal Navy:300, French Navy:26 ×18-pounder long gunsSD:10–14 ×8-pounder long guns3Royal Navy:Upper deck:28 × 18-pounder gunsQD:10 × 6-pounder guns + 6 × 32-poundercarronadesFc:2 × 6-pounder guns, Toulon Dockyard, 27 August 1790, Overall:150\xa0ft 4\xa0in (45.8\xa0m)Keel:124\xa0ft 6\xa0in (37.9\xa0m),, June 1789, Wrecked 30 December 1795, Minerve-classfrigate,,, Pearl,,,,,, August 1793,,, 39\xa0ft 5\xa0in (12.0\xa0m),, 12\xa0ft10+1⁄2in (3.9\xa0m),1789,,,,, 1362 tons (French; loaded),,,,,,,,Frigate
1790,1793,French brig Belliqueuse (1793),,,,,,,France,Great Britain,,,//upload.wikimedia.org/wikipedia/commons/thumb/3/3f/Ensign_of_France.svg/42px-Ensign_of_France.svg.png,//upload.wikimedia.org/wikipedia/commons/thumb/f/fa/White_Ensign_of_Great_Britain_%281707%E2%80%931800%29.svg/51px-White_Ensign_of_Great_Britain_%281707%E2%80%931800%29.svg.png,,, Belliquese, 220-280 (French; of load)34649⁄94(bm), French Navy:6 officers + 110-140 other ranks3Privateer:120British service:125, French NavyOriginally: 12 × 12-pounder guns1794: 6 × 24-pounder + 2 × 8-pounder guns3Privateer: 14 × 8-pounder guns + fourcarronadesBritish service: 20 × 24-poundercarronades," Michel Colin-Olivier, Dieppe", 30 December 1793, 104\xa0ft4+1⁄2in (31.8\xa0m) (overall)85\xa0ft7+1⁄2in (26.1\xa0m) (keel),, May 1793, Sold 1801, Belliqueuse-class brig, Brig,,,,,,, January 1798, 16 January 1798 by capture,,, 27\xa0ft 7\xa0in (8.4\xa0m),, 7\xa0ft 5\xa0in (2.3\xa0m), 15 April 1793,,,,, 475 tons (French),,,,,,,, Belliqueuse-class brig
1790,1793,HMS Papillon (1803),,,,,,,France,United Kingdom,,,//upload.wikimedia.org/wikipedia/commons/thumb/3/3f/Ensign_of_France.svg/42px-Ensign_of_France.svg.png,//upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Naval_Ensign_of_the_United_Kingdom.svg/56px-Naval_Ensign_of_the_United_Kingdom.svg.png,,, HMSPapillon, 14539⁄94(bm), French service:110British service:121, French service:12 × 4-pounder gunsBritish service:Unknown, Nantes, 23 August 1793, 64\xa0ft 0\xa0in (19.5\xa0m) (overall);54\xa0ft 0\xa0in (16.5\xa0m) (keel), Sails, June 1793, Foundered September 1805, Cerf-Volant-classbrig, Brig,,,,,,, 4 September 1803, 4 September 1803,,, 22\xa0ft 6\xa0in (6.9\xa0m),,, 16 May 1793,,,,, 160 tons (French),,,,,,,, Cerf-Volant-classbrig
1600,1600,HMS Portsmouth (1649),,,,,,,Commonwealth of England,Kingdom of England,,,//upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Flag_of_The_Commonwealth.svg/35px-Flag_of_The_Commonwealth.svg.png,//upload.wikimedia.org/wikipedia/commons/thumb/9/9c/English_Red_Ensign_1620.svg/46px-English_Red_Ensign_1620.svg.png,,, Portsmouth, 422+69⁄94bm, 150 men in 1653, at launch34 guns1666 Establishment38 guns, Portsmouth Dockyard, 1649/50, 99\xa0ft 0\xa0in (30.2\xa0m) keel for tonnage,,, Captured by French and blown up, 34-gun Fourth-Rate, ship-rigged,,,,,,, 9 August 1689, May 1660,1650, Lowestoffe 1665Four Days Battle 1666Bugia 1671Texel 1673Bantry Bay 1689, 28\xa0ft 4\xa0in (8.6\xa0m),, 12\xa0ft 8\xa0in (3.9\xa0m), April 1649,,,,,,,,,,,,, 34-gun Fourth-Rate
1600,1600,HMS Providence (1637),,,,,,,English Navy Royal,Commonwealth of England,Kingdom of England,,//upload.wikimedia.org/wikipedia/commons/thumb/9/9c/English_Red_Ensign_1620.svg/46px-English_Red_Ensign_1620.svg.png,//upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Flag_of_The_Commonwealth.svg/35px-Flag_of_The_Commonwealth.svg.png,//upload.wikimedia.org/wikipedia/commons/thumb/9/9c/English_Red_Ensign_1620.svg/46px-English_Red_Ensign_1620.svg.png,, Providence, 357+93⁄94tonsbm, 120 (1652)140 (1653), 30 guns as built1666 establishment6 × culverins (LD)14 × demi-culverins (LD)14 × sakers (UD)," Mr Tranckmore, St Saviors Dock, Bermondsey", 21 March 1637, 90\xa0ft 1\xa0in (27.5\xa0m) keel, Sail,, Wrecked at Tangier 31 October 1668, PinnanceFourth Rate – 1651, ship-rigged,,,,,,,, May 1649,1638, PortlandGabbard 1653, 27\xa0ft 4\xa0in (8.3\xa0m),, 11\xa0ft 0\xa0in (3.4\xa0m), 12 December 1636,,,,,,,,,,,,, PinnanceFourth Rate – 1651
1600,1600,Japanese warship San Buena Ventura,,,,,,,Japan,,,,//upload.wikimedia.org/wikipedia/en/thumb/9/9e/Flag_of_Japan.svg/42px-Flag_of_Japan.svg.png,,,, San Buena Ventura, 120 tonnes, ~339,, Miura Anjin,1607,, 3 masted sailboat,1607, Seized by Spain in 1610; fate unknown,,,,,,,,,,,1607,,,,,1604,,,,,,,,,,,,,
1600,1600,Phoenix (1613),,,,,,,English Navy Royal,,,,//upload.wikimedia.org/wikipedia/commons/thumb/9/9c/English_Red_Ensign_1620.svg/46px-English_Red_Ensign_1620.svg.png,,,, Phoenix, 184.8/246.4 tonsbm, 100 (1624), in 162412 × sakers4 × minions2 × falcons, Chatham Dockyard,1613, 70\xa0ft 0\xa0in (21.3\xa0m) keel, Sail,, Not listed after 1624, Pinnace, ship-rigged,,,,,,,,,,, 24\xa0ft 0\xa0in (7.3\xa0m),, 11\xa0ft 0\xa0in (3.4\xa0m), June 1612,,,,,,,,,,,,, Pinnace
1620,1620,Mary Rose (1623),,,,,,,England,,,,//upload.wikimedia.org/wikipedia/commons/thumb/9/9c/English_Red_Ensign_1620.svg/46px-English_Red_Ensign_1620.svg.png,,,, Mary Rose, 288.6/384.8 tonsbm, 120 (1624), in 162424 guns:8 ×demi-culverins10 ×sakers2 ×falcons4 ×minions, Deptford Dockyard,1623, 83\xa0ft 0\xa0in (25.3\xa0m) keel, Sail,, Wrecked in a storm March 1650, 24-gun ship, ship-rigged,,,,,,,,, August 1624,, 26\xa0ft 9\xa0in (8.2\xa0m),, 13\xa0ft 0\xa0in (4.0\xa0m), 3 February 1623,,,,,,,,,,,,, 24-gun ship
1630,1630,English ship Leopard (1635),,,,,,,England,Dutch Republic,,,//upload.wikimedia.org/wikipedia/commons/thumb/9/9c/English_Red_Ensign_1620.svg/46px-English_Red_Ensign_1620.svg.png,//upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Prinsenvlag.svg/42px-Prinsenvlag.svg.png,,, Luipaard, 516 (550.3 by later calculation),, 36 guns of various weights of shot," Peter Pett I, Woolwich", 11 March 1635, 95\xa0ft (29\xa0m) (keel),,,, 34-gunthird-rateship of the line, Full-rigged ship,,,,,,," 4 March 1653, by the Dutch", 4 March 1653,1635,, 33\xa0ft (10\xa0m),, 12\xa0ft 4\xa0in (3.76\xa0m), 1 March 1634,,,,,,,,,,,,,Third Rate
1630,1630,HMS Expedition (1637),,,,,,,English Navy Royal,Commonwealth of England,Kingdom of England,,//upload.wikimedia.org/wikipedia/commons/thumb/9/9c/English_Red_Ensign_1620.svg/46px-English_Red_Ensign_1620.svg.png,//upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Flag_of_The_Commonwealth.svg/35px-Flag_of_The_Commonwealth.svg.png,//upload.wikimedia.org/wikipedia/commons/thumb/9/9c/English_Red_Ensign_1620.svg/46px-English_Red_Ensign_1620.svg.png,, Expedition, 357+93⁄94tonsbm, 120 (1652)140 (1653), 30 guns as built1666 establishment7 × culverins (LD)13 × demi-culverins (LD)6 × 6-pdrs (UD)10 × sakers (UD)2 × 3-pdrs," Matthew Graves, Bermondsey", 20 March 1637, 90\xa0ft 1\xa0in (27.5\xa0m) keel, Sail,, Sold October 1667, PinnanceFourth Rate – 1651, ship-rigged,,,,,,,, May 1649,1638, Lowestoffe 1665Four Days Fight 1666Orfordness 1666, 27\xa0ft 4\xa0in (8.3\xa0m),, 11\xa0ft 0\xa0in (3.4\xa0m), 12 December 1636,,,,,,,,,,,,, PinnanceFourth Rate – 1651
1630,1630,HMS Vanguard (1631),,,,,,,England,,,,//upload.wikimedia.org/wikipedia/commons/thumb/9/9c/English_Red_Ensign_1620.svg/46px-English_Red_Ensign_1620.svg.png,,,, HMSVanguard, 750 tons, 390 officers and men, 40 guns (1642); 56 guns (1660)," Bright, Woolwich", 21 April 1631, 112\xa0ft (34\xa0m) (keel length), Sails,," Sunk as a blockship in the Upper Medway, 12 June 1667",,,,,,,,,,,,, 36\xa0ft 4\xa0in (11.07\xa0m);by 1660 38\xa0ft 0\xa0in (11.58\xa0m),, 13\xa0ft 10\xa0in (4.22\xa0m), 29 October 1630,,,,,,,,,,,,,
1640,1640,English ship Nonsuch (1646),,,,,,,England,,,,//upload.wikimedia.org/wikipedia/commons/thumb/9/9c/English_Red_Ensign_1620.svg/46px-English_Red_Ensign_1620.svg.png,,,, HMSNonsuch, 418+44⁄94bm,, 38 guns of various weights of shot," Peter Pett I,Deptford Dockyard",1646, 98\xa0ft 0\xa0in (29.9\xa0m) keel for tonnage,,, Wrecked at Gibraltar 3 December 1664, 34-gunfourth rate, Full-rigged ship,,,,,,,,,1646, Kentish Knock 1652Portland 1653Gabbard 1653, 28\xa0ft 4\xa0in (8.6\xa0m),, 14\xa0ft 2\xa0in (4.3\xa0m), December 1645,,,,,,,,,,,,,Fourth Rate
1650,1650,English ship Antelope (1651),,,,,,,England,,,,//upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Flag_of_The_Commonwealth.svg/35px-Flag_of_The_Commonwealth.svg.png,,,, Antelope, 828 tons, 250 (or possibly more), 56 guns of various weights of shot, Woolwich Dockyard, Spring 1652, 120\xa0ft (36.6\xa0m) (keel), Sails,," Wrecked, 30 September 1652", 56-gunsecond rategreat frigate, Full-rigged ship,,,,,,,,,,, 36\xa0ft (11.0\xa0m),, 16\xa0ft (4.9\xa0m), 8 August 1651,,,,,,,,,,,,,Second Rate
1650,1650,English ship Laurel (1651),,,,,,,England,,,,//upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Flag_of_The_Commonwealth.svg/35px-Flag_of_The_Commonwealth.svg.png,,,, Laurel, 489+0⁄94tonsbm, 180 in 1652200 by 1653, 46 as built48 to 50 guns 1653, Portsmouth Dockyard,1651, 103\xa0ft 0\xa0in (31.4\xa0m) Keel for tonnage,,, Wrecked 30 May 1657, 46-gunFourth-rate, ship-rigged,,,,,,,,,1651, Kentish Knock 1652Dungeness 1652Portland 1653The Gabbard 1653Scheveningen 1653, 30\xa0ft 1\xa0in (9.2\xa0m) maximum29\xa0ft 10.5\xa0in (9.1\xa0m) for tonnage,, 15\xa0ft 0\xa0in (4.6\xa0m), 5 February 1651,,,,,,,,,,,,,Fourth Rate
